Income,Response,Age,relationship,Education_Level,members_home,AcceptedCmp,num_purchases,expenses
58138.0,1,67,single,Graduate,0,0,25,1269
46344.0,0,70,single,Graduate,2,0,6,18
71613.0,0,59,in_relationship,Graduate,1,0,21,602
26646.0,0,40,in_relationship,Graduate,2,0,8,35
58293.0,0,43,in_relationship,Postgraduate,2,0,19,334
62513.0,0,57,in_relationship,Postgraduate,2,0,22,660
55635.0,0,53,single,Graduate,1,0,21,464
33454.0,0,39,in_relationship,Postgraduate,2,0,10,142
30351.0,1,50,in_relationship,Postgraduate,2,0,6,38
5648.0,0,74,in_relationship,Postgraduate,3,1,2,34
7500.0,0,48,in_relationship,Undergraduate,1,0,6,33
63033.0,0,65,single,Graduate,0,0,16,735
59354.0,0,72,single,Postgraduate,2,0,15,288
17323.0,0,37,in_relationship,Graduate,1,0,5,34
82800.0,1,78,single,Postgraduate,0,1,26,1143
41850.0,0,44,in_relationship,Graduate,3,0,9,77
37760.0,0,78,in_relationship,Graduate,1,0,13,127
76995.0,0,75,in_relationship,Postgraduate,2,1,26,1590
33812.0,0,39,single,Undergraduate,1,0,8,40
37040.0,0,42,in_relationship,Graduate,1,0,12,161
2447.0,0,45,in_relationship,Graduate,2,0,43,1727
58607.0,0,75,in_relationship,Postgraduate,2,0,17,953
65324.0,0,70,in_relationship,Postgraduate,2,0,20,486
40689.0,0,73,in_relationship,Graduate,2,0,20,300
18589.0,0,55,single,Graduate,0,0,8,35
53359.0,0,48,in_relationship,Graduate,3,0,14,207
38360.0,0,35,in_relationship,Graduate,2,0,9,80
84618.0,0,59,in_relationship,Postgraduate,1,0,26,1585
10979.0,0,35,single,Postgraduate,0,0,8,22
38620.0,0,61,in_relationship,Postgraduate,1,0,11,173
40548.0,0,54,in_relationship,Graduate,2,0,9,115
46610.0,1,72,single,Postgraduate,2,0,17,204
68657.0,0,78,in_relationship,Postgraduate,1,0,18,987
49389.0,0,73,single,Postgraduate,2,0,6,59
67353.0,0,54,in_relationship,Postgraduate,2,0,28,870
23718.0,0,48,in_relationship,Undergraduate,2,0,9,23
42429.0,0,51,single,Graduate,1,0,7,61
48948.0,1,81,single,Postgraduate,0,1,24,651
80011.0,0,44,in_relationship,Graduate,2,0,21,1033
20559.0,0,39,in_relationship,Postgraduate,2,0,7,43
21994.0,0,67,in_relationship,Graduate,2,0,4,15
7500.0,0,49,in_relationship,Postgraduate,2,0,8,14
79941.0,0,48,single,Graduate,0,0,16,553
7500.0,1,28,in_relationship,Undergraduate,1,0,10,35
41728.0,0,56,in_relationship,Graduate,2,0,5,34
72550.0,0,70,in_relationship,Postgraduate,3,0,28,1193
65486.0,0,67,single,Graduate,1,0,17,389
79143.0,0,60,in_relationship,Postgraduate,1,0,29,1467
35790.0,0,47,single,Graduate,1,0,7,38
82582.0,1,47,single,Graduate,0,2,21,1180
66373.0,0,46,in_relationship,Graduate,3,0,23,461
82384.0,1,69,in_relationship,Postgraduate,1,0,27,1467
70287.0,1,58,single,Graduate,0,0,21,812
27938.0,0,36,single,Graduate,1,0,6,21
55954.0,0,56,in_relationship,Postgraduate,2,0,19,475
75777.0,1,42,single,Postgraduate,0,0,21,1276
66653.0,0,49,in_relationship,Graduate,3,0,22,572
61823.0,0,72,single,Graduate,1,0,24,664
67680.0,0,73,single,Postgraduate,1,0,19,594
70666.0,0,76,in_relationship,Graduate,1,0,16,805
25721.0,1,53,in_relationship,Graduate,2,0,5,10
32474.0,0,57,in_relationship,Graduate,3,0,4,11
88194.0,1,45,single,Undergraduate,1,2,32,1011
69096.0,0,66,in_relationship,Graduate,2,0,18,455
74854.0,0,54,in_relationship,Graduate,4,0,19,1402
66991.0,0,70,in_relationship,Postgraduate,1,0,21,992
